Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC5
Csf2rb2,nscBYnpc_FC5_,npc,nsc,0.105283,3.28666,31.21738552
Cd3d,nscBYnpc_FC5_,npc,nsc,0.00702353,0.219116,31.19741782
Gm16573,nscBYnpc_FC5_,npc,nsc,0.0115726,0.360452,31.14701968
Pilrb2,nscBYnpc_FC5_,npc,nsc,0.363793,11.2504,30.92527894
Gm16181,nscBYnpc_FC5_,npc,nsc,0.0191231,0.591049,30.90759343
Gpr84,nscBYnpc_FC5_,npc,nsc,0.096935,2.99173,30.86325888
Neurl3,nscBYnpc_FC5_,npc,nsc,0.211767,6.51655,30.77226386
Trpv4,nscBYnpc_FC5_,npc,nsc,0.611218,18.7264,30.63784116
Slfn1,nscBYnpc_FC5_,npc,nsc,0.0473707,1.45084,30.62737093
Adrb2,nscBYnpc_FC5_,npc,nsc,4.31361,131.481,30.48050241
