"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Prop1",1.40466251141473,0.113567871062527,86.331283913694,3.45476891021469e-10,4.46958202343156e-08
"Notum",4.0385172640042,0.507398539920832,86.2830331661934,3.47599361851665e-10,4.47089574549093e-08
"Epp13",1.44640485573393,0.172818050664154,86.2024977496389,3.51173102119025e-10,4.49075291224231e-08
"Gm36028",2.51502371186628,0.516040252494574,85.8536241531676,3.67114295716331e-10,4.66762618628299e-08
"Slc39a8",5.38936927775215,1.19077826840652,85.8067290910011,3.6931540205017e-10,4.66877979403195e-08
"Gm26424",1.37429118267342,0.0916194121782283,85.1830322703997,3.99970627082058e-10,5.02758533121384e-08
"Mast3",-3.87545758513242,4.27512901007256,84.9606776378324,4.11548219190548e-10,5.14388771364548e-08
"Ism1",1.76322473934426,0.286991088787529,84.1763722575168,4.55333510140762e-10,5.65918159822701e-08
"Gm11379",1.60945852498519,0.165271437526868,83.2640690267355,5.12618751242031e-10,6.33556683448461e-08
"Rps2-ps6",4.31773454443421,1.24750148801005,82.2153590019047,5.88140814638179e-10,7.22857735680025e-08
"Nid1",4.59777093268553,1.12081288798583,82.0881076064489,5.9808457891062e-10,7.31017963493903e-08
"BC028528",3.97498512973673,1.7340846742277,81.5483872223627,6.4230254130969e-10,7.8075050117551e-08
"Pdgfd",1.70200749766524,0.284356455438643,81.1881214234788,6.73755800032422e-10,8.14508172902583e-08
"Igsf5",1.43450894972899,0.167448065883028,81.053369434915,6.85940227759412e-10,8.2473128580008e-08
"Lama4",4.32501549998612,0.871701498513408,80.3536779953338,7.53111298272734e-10,9.00598986577713e-08
"Car4",7.52107447929926,1.93578587661114,79.3256169900004,8.64876183831326e-10,1.02869117284411e-07
"Higd1b",5.82205095066119,1.26194798856535,79.2197755816368,8.77351657095401e-10,1.03512241234523e-07
"Slco2a1",1.36172331682583,0.198149815584451,79.2005263924114,8.79641158617294e-10,1.03512241234523e-07
"Clec1a",3.33318440341049,0.831732625228871,79.0818055099394,8.93903803586411e-10,1.04634041517154e-07
"Aplnr",7.83686210918747,1.85181172384179,77.9166795595015,1.04775675570117e-09,1.21997487928299e-07
"Des",2.84392185122338,0.549340776544292,77.587954463653,1.09611853251554e-09,1.26799619358708e-07
"Trim16",4.80663963763329,1.34453453446409,77.5245053535696,1.10572500131882e-09,1.26799619358708e-07
"Ccl20",1.29166709591758,0.124841391265703,77.5214237917272,1.10619384966915e-09,1.26799619358708e-07
"Nlrc3",2.86716603597094,1.05296438878314,77.2880420270389,1.1423272722331e-09,1.30266527028932e-07
"Ndufs5",-3.65425323242946,4.59660947595879,76.5238355524764,1.26975269078537e-09,1.44055070657665e-07
