"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Akr1b10",5.69515734277544,3.56002246579774,2.94621595054378,4.36399502626717,3.74749512406175,3.57825637481613,2.94621595054378,3.373343550265,5.7374366918361,4.17933513190085
"Akt2",6.45757987251868,3.0147825970804,3.83602271611659,2.72654715235351,3.80197969119811,1.71068990711625,3.83602271611659,1.91893830226952,2.43076861160689,3.99145631320093
"Akt2-ps",10.4386738500584,3.46180312517253,8.12232758911838,0.255953059830632,5.35490160022489,0,8.12232758911838,0,0,0.819049791458022
"Alcam",4.54471612541932,1.91723585571293,1.98247560615135,2.18858610779262,2.32048035848097,1.46518354052741,1.98247560615135,1.92902379480693,0.163344293420801,4.52530269774726
"Aldh1l1",6.3867300967033,0.48326269932793,1.668439152761,0.184166727245919,1.1805570219207,0.0415701615416425,1.668439152761,0.0383536511545074,0.203794297109702,0.339514848691829
"Aldh6a1",3.2652247793468,0.498667117665325,0.978555344045769,0.424584627292621,0.923251465579245,0.0226995763224151,0.978555344045769,0.0302661017632202,0.65181689356176,0.670534591658763
"Aldoc",11.5827365022772,4.91244346262261,7.79555294491955,3.22350929556962,6.54273437994563,2.09671669989797,7.79555294491955,2.00629884905081,4.96396852686124,2.94370260010056
"Alpk1",2.74027378748552,1.03866715257763,0.66964661706202,1.57426095051728,1.44081107339712,0.358173029051023,0.66964661706202,0.428736797083122,0.939326792334403,3.58382409282115
"Alpk3",2.75585670088909,0.162600856580893,0.530729952170036,0.164644878478917,0.404538987727823,0.145584957003883,0.530729952170036,0.167426284811651,0.0805286464786678,0.245423422879886
"Alpl",4.45799301732962,0.40810717194091,1.2579269626678,0.170750585728471,0.892069212796161,0.0896830209361455,1.2579269626678,0.0319592785494276,0.29916966608107,0.208881073990725
"Als2cl",6.48867221888016,1.49396049425893,2.89588575975112,0.891614852530911,2.37958407040418,0.30717359101478,2.89588575975112,0.349788695194,0.887763578166789,1.54565751569932
"Amer2",7.21911730832928,2.25357911353965,4.02078363377314,1.32796743268405,3.40891025293933,0.317803028887958,4.02078363377314,0.122394500443522,1.51236053450355,2.59026184955319
"Amigo2",6.26339540236273,2.75922588719606,3.56730550494213,2.49017741106408,2.81743050921694,3.4752055554303,3.56730550494213,4.38941114909699,1.46326030389798,1.23801403259069
"Amot",5.39746573206246,0.804352653627809,1.85863947511648,0.455990819629558,1.38555678441949,0.354319563559351,1.85863947511648,0.428115822316876,0.150897147736315,0.794534488298018
"Ampd2",7.6100809739745,4.02986660267836,4.92027507294586,3.69828598760631,4.84103944679953,2.69419487416917,4.92027507294586,3.22538102018679,3.26898468507213,4.69507325104393
"Angptl4",7.84820097616211,2.11884558764288,4.04636462876375,1.14843585022703,2.87117264031471,1.48228503992516,4.04636462876375,1.85942402118642,0.777559251323223,0.666126643979565
"Ankrd16",7.07564102214531,3.56585504271114,4.38318899629001,3.2894110807589,4.66563153197266,1.41891619210051,4.38318899629001,1.49846780599182,3.56119338854192,5.16676070269638
"Ankrd9",5.69582413022309,2.93177845603119,3.4615029052802,2.81377527221229,3.21782668196509,2.83615725326093,3.4615029052802,3.17557653397425,1.99386427089574,3.1995247594145
"Aox1",3.22166968340464,0.224218619074928,0.723478340883445,0.162047745533689,0.557410338033513,0.057304158021247,0.723478340883445,0.0678593271410647,0.078391489973915,0.358730103164613
"Ap3s1",4.6817489000066,2.8861966811673,2.58412090616572,3.37495701164858,3.08631896260192,2.78474846193191,2.58412090616572,3.01098030390023,3.05581361519146,4.13087245740373
"Apobec1",3.42421349749645,3.11185602087129,1.43017405517874,4.62237242543041,3.42569096149051,2.32689930332472,1.43017405517874,2.73772719562634,3.90724417621241,7.59907495041331
"Apoc1",3.2269013648968,2.32596070159331,1.10423399964049,3.50758914871496,1.4125541186182,5.06306397060074,1.10423399964049,6.48330014209086,0.774329281766426,2.66999582361242
"Apoe",14.2831316013929,11.3949036826888,11.1498848708678,11.9703236328703,11.3219451449833,12.3175966410551,11.1498848708678,13.1470421454826,10.3273990609017,12.2011859897041
"Appl2",7.16903446995388,2.90275968262937,3.97469852428245,2.49809754459848,3.78463185972177,1.54417989245639,3.97469852428245,1.62476567165727,3.18930770055122,2.85488563617521
"Aqp4",10.5697713576226,1.71212916043985,4.09232484237734,0.736663213392395,3.0493885246921,0.249076458041869,4.09232484237734,0.0379353536417382,1.90851202326725,0.403287835218325
"Arap2",4.72961221655885,1.05885514155867,2.05366085206513,0.647244779240548,1.68679148061788,0.249719477895901,2.05366085206513,0.26287856457859,0.566415834854649,1.1893131812208
"Arglu1",7.6404347444474,4.39556070359677,5.25000181819575,4.05353398342899,5.16096499905692,3.10191740129401,5.25000181819575,3.20991982791999,3.96358863703461,5.15581631643416
"Arhgap21",5.96799193032883,2.26805347038719,3.63123704239838,1.5377601523701,3.13347325389328,0.813133680730857,3.63123704239838,0.97769299232092,1.34869412966889,2.39890676713034
"Arhgef12",5.32758054818117,2.2463070010536,3.21775985235216,1.7814449495583,2.80131228642645,1.49036085306015,3.21775985235216,1.83723752527611,1.53937951613012,1.95655929212512
"Arhgef17",4.52807602807819,0.917463442170403,2.32042769483669,0.141196294325875,1.5736825232778,0.015514115602001,2.32042769483669,0,0.158037314501772,0.293790827341029
"Arhgef25",7.22970271379431,2.55155033912035,4.95392787149153,1.03423904512982,3.70063118683463,0.561116101574572,4.95392787149153,0,2.94948647338783,0.360078471027596
"Arhgef26",5.01755519287199,0.615632608100583,1.59862619141159,0.305753545799875,1.20686155048098,0.0902336627473507,1.59862619141159,0.0994899353772195,0.192572958867178,0.66645046523976
"Arhgef4",4.39325476546468,0.830622927857662,1.80496447606557,0.423403052876622,1.41991894718241,0.100716834116352,1.80496447606557,0.10584083989765,0.547234772660112,0.680645988667899
"Arhgef40",7.43249221368163,2.9740849928765,5.07255312541561,1.69522627950543,4.21151167860886,0.685763412313813,5.07255312541561,0.0321988988906722,4.4867320464037,0.899353369344854
"Arntl",3.85653631021649,1.26182828207649,1.6058672254492,1.28513271014288,1.78186650118562,0.480400186561404,1.6058672254492,0.515847185464088,1.39395267433473,2.09945537556557
"Arrb1",5.96416510790771,3.47945544849904,3.89049012585701,3.43038881323691,3.86019076275507,3.05361074914714,3.89049012585701,3.59734131129294,2.30848424154635,4.35195038726024
"Arrdc3",7.81316100616714,5.00194670178728,5.33208867426957,5.06447426391275,5.87653514700424,3.29963205353561,5.33208867426957,3.521345586514,6.20224989416403,5.77845304653998
"Arx",6.01880823340847,0.824248965910354,2.41613858141515,0.0806654607809191,1.59620852328667,0,2.41613858141515,0,0.179860007728694,0.0782694667702474
"Arxes2",9.07871404981514,3.3308085073706,6.82069888925131,0.995642616030546,4.93154030999037,0.365772435777369,6.82069888925131,0,2.52955910385609,0.656497267441662
"Ash1l",4.46436748886957,2.27278317174915,2.41921012011215,2.41860763157157,3.03366929826668,0.72824240310604,2.41921012011215,0.842260569562259,2.49394375508279,4.23488798247152
"Aspg",3.38313281154807,0.195679397471113,0.854618384530391,0.0175394605538643,0.551454205141254,0.0141620298974654,0.854618384530391,0,0.0226592478359446,0.0334670259364212
"Asrgl1",7.69198987511827,3.1534578252656,5.25317132465951,1.88352501952751,4.31094182472237,1.10500983922265,5.25317132465951,1.33766284980868,1.45697758358936,2.96510705912826
"Astn1",4.27298657779436,0.803513548078028,2.0705150222871,0.128571386859628,1.38613293547139,0.0686784901753601,2.0705150222871,0.0653032550587436,0.0784504529077412,0.254614078972575
"Atad2",4.01475984502395,2.37699404837533,1.95148347736557,2.95403652258994,2.35109450800317,2.85765923356092,1.95148347736557,3.51232205585304,2.01854012835297,3.21959027691119
"Atl2",6.89664440372962,2.69794653407515,3.47662357535104,2.54144135666556,3.4547143699431,1.66650945285189,3.47662357535104,1.76252431797975,3.06712076248686,2.95046239726722
"Atp13a4",5.36657422900151,0.308417303712637,1.20023823115787,0.160343607859167,0.861322338539853,0.0524676892600109,1.20023823115787,0.0611861040227968,0.0907279137315722,0.348948306590407
"Atp1b1",8.21077542109995,2.22015863708996,4.79567399146726,0.715409800011073,3.51771423267658,0.14953494522925,4.79567399146726,0.0719390840796641,0.809645415042825,1.39333904409701
"Atp1b2",12.0123629511417,3.51477339710019,7.67355926215677,0.938034459430863,5.40599392355943,0.438314337847638,7.67355926215677,0,2.8655608895893,0.136149380589466
"Atp2a2",8.40992177403465,4.78671682806471,6.276464242936,3.93608845829857,5.77265781110359,2.98118036120027,6.276464242936,3.21060603525355,4.25917062220235,4.48358520204882
"Atp2b4",4.88600191448251,1.14282559268068,2.01879193988587,0.844252079101376,1.7330103912097,0.455611477176348,2.01879193988587,0.546724646135595,0.117895184742897,1.92764189301879
"Atrx",5.26898118719685,2.79158167711924,3.03369046737536,2.88941142440483,3.45028742298052,1.59949075352013,3.03369046737536,1.89761746884514,2.65835877832892,4.31061681715238
"Atxn7",4.3534675374769,1.54351718330359,1.80243362483754,1.66820909123305,2.24036084693519,0.329684696860011,1.80243362483754,0.384268731802007,1.42344667297999,3.45369994080336
"Atxn7l2",6.14376815246206,2.5613785630241,4.07873800410282,1.68148775075996,3.67342672883812,0.398843504395023,4.07873800410282,0.437400526528163,2.28204715052191,2.57383302007618
"Axin2",5.50103206098485,1.24007524077677,3.07816380310523,0.164367351265378,1.98468221248202,0.257645273639347,3.07816380310523,0.26413017329447,0.153284417516538,0.055734898579308
